14-28,13-28
1-97,13-98
57-57,41-56
3-88,44-89
16-53,15-52
24-84,25-83
17-76,16-54
22-72,23-96
78-79,66-79
21-35,2-22
1-89,10-90
97-98,98-98
27-98,28-99
1-79,2-97
88-88,5-82
51-86,49-51
20-87,21-86
99-99,52-79
56-58,1-57
71-74,70-70
22-51,51-77
55-92,54-91
63-99,6-93
42-88,41-87
44-53,44-52
19-59,23-67
10-76,5-41
49-64,63-65
32-64,17-63
1-2,3-99
29-75,28-29
98-98,31-97
63-84,64-85
40-85,39-84
30-46,45-69
1-25,3-99
48-98,49-99
5-40,23-41
78-79,50-79
9-10,10-10
37-65,37-65
16-22,17-35
47-82,46-47
14-67,13-14
32-93,11-56
65-93,66-94
20-80,21-80
92-94,3-89
67-68,16-68
12-97,97-99
2-16,19-95
8-32,31-35
98-98,76-95
8-57,8-58
10-25,11-25
23-33,34-66
12-69,12-23
10-68,9-69
42-50,31-51
27-81,28-80
7-99,8-99
5-88,5-87
39-84,7-85
2-61,74-88
4-56,4-55
47-60,48-79
19-47,46-93
35-93,34-92
64-96,64-96
28-28,28-34
54-91,92-92
15-27,27-27
17-79,27-50
1-3,2-88
14-97,96-96
19-66,42-67
87-94,37-49
15-82,87-98
8-26,8-49
43-43,50-99
55-98,25-97
5-82,6-83
29-53,47-48
10-92,9-10
33-43,13-71
9-79,10-79
30-63,31-75
2-54,1-2
37-95,21-96
68-79,16-69
2-47,46-47
45-65,5-44
21-99,28-96
4-31,4-52
16-94,8-96
13-86,85-88
58-76,53-56
7-95,30-96
96-96,28-78
24-55,23-54
30-84,30-83
21-82,7-81
9-35,36-90
3-17,1-2
1-1,2-37
4-99,4-99
38-65,37-45
94-95,31-78
58-95,94-97
30-95,29-95
70-81,76-98
15-76,21-65
6-59,5-59
8-28,7-21
43-61,62-63
10-30,10-30
10-85,10-85
21-40,22-40
24-60,29-61
51-86,13-52
6-96,5-96
6-18,17-55
24-24,24-24
81-95,96-99
