on x=-19..34,y=-11..39,z=-31..17
on x=-54584..-26709,y=-36480..-14684,z=59274..70111
on x=-13532..557,y=-205..35666,z=75595..80426
on x=19930..37164,y=39934..75706,z=28842..56488
on x=-63919..-57607,y=37342..65169,z=5453..23613
on x=33971..53982,y=-70776..-40917,z=-27539..-1882
on x=43686..66086,y=-46761..-39687,z=44445..52406
on x=-71484..-52837,y=22244..33012,z=-71055..-50941
on x=29947..49592,y=-61876..-44047,z=29105..46580
on x=18688..22615,y=64530..90273,z=-17792..939
on x=-68324..-37052,y=56041..74288,z=8355..22305
on x=10878..26340,y=-70763..-47532,z=-49441..-34903
on x=-67797..-57357,y=-46794..-16810,z=27958..33447
on x=-49245..-18622,y=1872..29334,z=-70708..-68379
on x=-55120..-35928,y=-47503..-29566,z=43350..68375
on x=17212..42969,y=-44068..-19902,z=-70311..-58563
on x=63690..70279,y=-25612..-18742,z=27291..36553
on x=-87590..-61505,y=-44340..-25001,z=-32367..-11725
on x=2625..24899,y=39005..55211,z=-82340..-54059
on x=-89425..-59112,y=18434..25030,z=-46932..-26634
on x=35323..45535,y=-60130..-38939,z=-60110..-42119
on x=-4814..-358,y=-44103..-17684,z=-94405..-57883
on x=-13427..-4497,y=-48843..-29609,z=-79884..-51513
on x=-9291..20633,y=71345..84379,z=15412..35350
on x=36785..59221,y=-49946..-18440,z=-46415..-26142
on x=-23961..261,y=-14293..15841,z=-93639..-67235
on x=-17719..12173,y=-71812..-52704,z=54163..78859
on x=44182..59057,y=45340..79313,z=-10220..-6319
on x=-2843..12323,y=-33462..-11957,z=-80379..-64630
on x=-81675..-54981,y=-6441..17303,z=35935..60630
on x=-60272..-53534,y=33541..52449,z=-51823..-19233
on x=-27560..-1884,y=-9395..6897,z=61463..81890
on x=-57045..-48013,y=-17416..7911,z=-68242..-47283
on x=23125..37639,y=64602..73141,z=-30190..-12051
on x=-43025..-28324,y=51390..64862,z=-49113..-20014
on x=28856..35405,y=57558..78950,z=-5602..28787
on x=-70341..-31710,y=40298..59309,z=6507..36179
on x=-67990..-55020,y=3487..33802,z=-51949..-23503
on x=47457..72323,y=-24534..842,z=-56293..-33919
on x=17679..26568,y=-34474..-18848,z=62305..89257
on x=64358..89300,y=-18712..-2306,z=33898..41151
on x=48517..61626,y=39311..56615,z=-51638..-26634
on x=-88710..-67483,y=-37791..-918,z=-1918..3921
on x=42065..70342,y=-37912..-8549,z=32217..66982
on x=-22591..-9949,y=45917..57215,z=49681..68258
on x=9241..25317,y=-98314..-61829,z=-11840..14020
on x=-47564..-12683,y=-79911..-63051,z=28932..45008
on x=-48808..-16559,y=-60171..-32211,z=-68624..-39470
on x=37222..53313,y=33030..57532,z=-62535..-30746
on x=-67909..-48455,y=34768..67713,z=-35566..-6793
on x=-2307..13432,y=-89925..-67021,z=-25882..-10089
on x=74196..93829,y=-15279..16676,z=-11896..21464
on x=58433..69747,y=-17038..37,z=32575..67296
on x=8070..33285,y=9673..17198,z=-77896..-66759
on x=-3941..15456,y=-92068..-71888,z=-10308..9493
on x=-31149..-19195,y=-28467..-19598,z=-84559..-64484
on x=-69825..-55564,y=-32784..-4890,z=-63631..-37483
on x=41550..71029,y=-51074..-35255,z=-38725..-20037
on x=45379..57996,y=-62858..-48569,z=10594..36776
on x=-69604..-52934,y=27551..61689,z=-11551..15578
on x=-13620..-7061,y=61054..79199,z=-28439..-7246
on x=-82714..-68722,y=14288..42630,z=11793..36355
on x=-33531..-19670,y=-34614..-14238,z=-71888..-60534
on x=-66171..-44171,y=-60460..-35817,z=-55303..-41630
on x=-87267..-60127,y=-16967..2819,z=8187..19368
on x=-62180..-23369,y=-79951..-49989,z=6888..43235
on x=62229..93782,y=-37627..-9892,z=-7514..1429
on x=3981..27276,y=75047..95023,z=18308..32415
on x=48151..60010,y=-53092..-42268,z=-29379..-12134
on x=34817..53096,y=-85363..-65051,z=5313..18615
on x=-77424..-58447,y=15242..34843,z=-48702..-34960
on x=-42681..-21406,y=-36934..-20529,z=-82620..-50107
on x=-38142..-20238,y=5145..20098,z=55486..74251
on x=44800..80857,y=29980..44630,z=-48416..-16873
on x=-17219..-12208,y=-59887..-31642,z=-65808..-56543
on x=-59375..-47356,y=28834..59001,z=-45917..-30002
on x=-33073..-15994,y=-79377..-51857,z=30048..45424
on x=-77885..-52881,y=-43375..-18076,z=4016..24615
on x=36521..59118,y=-16766..9582,z=-66726..-47308
on x=-85690..-57260,y=-4651..7321,z=19411..45193
on x=-62070..-47892,y=36066..62603,z=22188..45696
on x=8961..34891,y=-16146..7496,z=62247..88805
on x=-28486..-14449,y=-65681..-52807,z=49147..54288
on x=-23033..-8795,y=-84796..-54167,z=10129..40742
on x=-89925..-57178,y=-5455..3585,z=-29437..-21963
on x=-55347..-25240,y=-37233..-15236,z=62370..69135
on x=-81694..-70050,y=20783..35620,z=-6670..17309
on x=-49394..-41202,y=32637..42012,z=39464..55647
on x=52794..80714,y=-39271..-26285,z=25847..49565
on x=-5414..17111,y=75715..92362,z=-29360..2348
on x=51843..68450,y=-44430..-19585,z=-64186..-28576
on x=-7106..14373,y=46248..76091,z=41486..56884
on x=62691..87551,y=3020..28200,z=-47144..-26150
on x=62737..89578,y=25428..36367,z=5108..23571
on x=62371..96177,y=-3335..10416,z=-31008..-993
on x=23689..50019,y=-77893..-48374,z=-1746..16212
on x=36720..61786,y=62493..76554,z=3558..16466
on x=-43499..-10856,y=-5157..13801,z=56719..87246
on x=71377..95124,y=-12942..5453,z=-22566..-2054
on x=13313..29289,y=-91157..-64116,z=-19071..-501
on x=43432..62301,y=25636..53262,z=-48839..-23042
on x=-31563..-7640,y=54417..84266,z=37228..46940
on x=31856..62211,y=55504..61421,z=23332..44440
on x=44399..80862,y=-51423..-31825,z=-6242..18319
on x=-28519..-3990,y=52594..70772,z=-65807..-44848
on x=-9724..-460,y=43652..75978,z=-52806..-38091
on x=67490..94367,y=2651..14846,z=-22010..6022
on x=-16606..14520,y=-51609..-21557,z=-88555..-65629
on x=32684..47273,y=27102..57844,z=42749..72783
on x=-24755..-10821,y=-57166..-37430,z=-69311..-38247
on x=-78700..-41560,y=568..17609,z=48687..54165
on x=-71043..-55917,y=-42942..-17773,z=-39544..-13348
on x=48353..76396,y=-48229..-29430,z=14452..40378
on x=23904..57789,y=-59210..-43721,z=29384..58413
on x=21617..36345,y=19363..53171,z=-67712..-52861
on x=16787..39644,y=67674..91056,z=12943..30963
on x=43440..73909,y=-55543..-31861,z=31951..58733
on x=-74641..-63270,y=4546..23905,z=-55146..-24432
on x=523..17935,y=-58236..-22949,z=63815..73699
on x=-46878..-19691,y=-15704..18151,z=64593..81983
on x=30966..50623,y=45791..66880,z=30953..46059
on x=-53118..-21940,y=57616..71564,z=19038..46156
on x=41751..61849,y=36346..70634,z=-28619..-14533
on x=66663..76349,y=20615..26579,z=-34717..-12052
on x=-26878..-8362,y=31779..63544,z=49296..79529
on x=38544..59591,y=-64826..-53405,z=-17048..6720
on x=-61193..-38177,y=60567..80984,z=-32930..-9165
on x=48633..71237,y=-56887..-28873,z=13678..48109
on x=-45551..-30575,y=53941..72643,z=26636..42876
on x=-12142..18790,y=-70973..-49874,z=44337..60261
on x=-47504..-30152,y=46140..57887,z=42897..57651
on x=27293..50991,y=-78875..-59933,z=-15272..2611
on x=51653..59715,y=-50085..-21490,z=-54510..-32190
on x=-58658..-42215,y=31240..68666,z=22959..55621
on x=-45469..-18261,y=16479..18953,z=-75997..-62954
on x=-9078..12164,y=-78898..-71337,z=998..24630
on x=63101..83965,y=-20274..58,z=2391..21672
on x=-41561..-19541,y=-66162..-37759,z=-55545..-44527
on x=35291..64181,y=-62599..-37129,z=-33683..-23288
on x=-69038..-57260,y=16514..40726,z=36721..45940
on x=33554..54239,y=10593..27924,z=-79200..-50486
on x=-78071..-50564,y=-60483..-36505,z=3214..20837
on x=62543..88692,y=-18735..12482,z=-29114..-5642
on x=-32894..-3856,y=46981..69707,z=-54140..-36064
on x=-64735..-59656,y=-47725..-41114,z=-26276..-18682
on x=64719..80050,y=-51101..-25281,z=-17373..4419
on x=-5739..16903,y=-17827..3127,z=-96254..-58503
on x=63956..69471,y=-38139..-6425,z=22998..42384
on x=32333..67208,y=-50313..-27901,z=48788..54534
on x=11270..30777,y=-86653..-69617,z=4149..40145
on x=25978..37014,y=-64446..-48354,z=-48232..-32898
on x=-16753..7059,y=-350..17415,z=-92045..-66260
on x=-17727..-2551,y=8835..25187,z=62431..81464
on x=-75190..-58052,y=-36005..-3922,z=34847..61549
on x=-45729..-27190,y=56180..79317,z=-35357..-8980
on x=-49376..-26947,y=48754..66522,z=23608..34879
on x=64859..85219,y=27440..39066,z=-43956..-8145
on x=-60007..-39374,y=54210..62426,z=3353..16848
on x=18947..28826,y=-88449..-54559,z=11947..38432
on x=-30579..53,y=67549..90488,z=-42745..-15393
on x=-8066..20682,y=7849..31697,z=-97082..-59252
on x=37088..49520,y=15985..51416,z=-66403..-48244
on x=26928..32836,y=-44516..-23368,z=66847..83277
on x=-7421..9540,y=-86002..-53529,z=-45327..-25432
off x=21171..43342,y=43600..70730,z=-44537..-29259
off x=28834..60225,y=20872..46144,z=-67457..-46855
on x=-76768..-67266,y=-36680..-9725,z=-20933..-3814
on x=57826..87820,y=34686..46578,z=-31846..-12470
off x=-75545..-59672,y=9294..18747,z=31753..49646
off x=-72004..-39663,y=-38406..-13067,z=-69344..-45945
on x=-35108..-19697,y=-710..19806,z=56128..74660
on x=-33017..-11329,y=-18693..16441,z=-84085..-66706
on x=42244..61618,y=38985..59543,z=-62155..-46459
off x=-11929..13433,y=-13136..4490,z=67712..88419
on x=-34577..-29245,y=-78776..-66859,z=-4269..9096
on x=40056..68507,y=44668..68150,z=-52234..-23728
on x=40940..61674,y=-57100..-39643,z=-33484..-3506
on x=-46880..-27342,y=-89708..-65095,z=2093..18886
on x=6136..22345,y=-34592..-3205,z=64367..85234
off x=-92312..-71701,y=-8621..-4551,z=-42622..-21109
off x=37479..46418,y=-57923..-44720,z=-54172..-46496
on x=-7711..22135,y=47062..74312,z=-53885..-39933
on x=-2774..29297,y=-74620..-63510,z=23767..39217
off x=-32631..-7055,y=-39158..-28499,z=-71721..-56833
on x=3853..25857,y=-91702..-68553,z=5946..28238
on x=-81450..-51565,y=7488..34250,z=21030..56644
off x=12729..26296,y=-36888..-18557,z=58041..75851
on x=3081..23850,y=-37010..-34986,z=51856..78728
on x=-8482..18019,y=2049..24864,z=-89692..-66091
on x=-50987..-11878,y=-36403..1022,z=68212..88871
off x=-9491..4983,y=60803..74334,z=19868..45969
on x=-70369..-65478,y=-3768..4519,z=-50516..-34155
on x=-64531..-54039,y=-59856..-37011,z=16022..35179
off x=37930..67059,y=23138..42347,z=-47934..-44981
off x=-62650..-43766,y=5560..26415,z=44278..73492
on x=-80852..-68223,y=-10460..7561,z=-49250..-29250
on x=53601..68851,y=-3634..22127,z=35358..44932
off x=-11360..17713,y=42262..61745,z=57904..63425
off x=15541..48724,y=-93903..-55948,z=-1438..6701
on x=-24050..1833,y=33541..63538,z=58934..61743
on x=-61955..-41645,y=-48446..-30540,z=33232..64532
on x=-65569..-51577,y=16989..44017,z=-55876..-35431
on x=37750..40302,y=60589..67563,z=-46903..-27707
off x=-69948..-50611,y=-60995..-30473,z=-30508..5182
off x=56272..79605,y=-28320..-10079,z=38212..50527
off x=-46630..-39973,y=60326..76082,z=766..19423
on x=-58147..-52450,y=-47140..-37545,z=31756..45365
off x=41454..42604,y=-67636..-53898,z=-22281..4083
on x=-4733..3987,y=-766..21126,z=-83424..-73479
off x=17976..29873,y=46315..62691,z=38819..60685
off x=18430..29796,y=61474..71431,z=21324..32804
off x=-56056..-43844,y=47705..63799,z=-41231..-17044
off x=-55933..-47453,y=48778..54155,z=19992..34341
off x=-48245..-41433,y=43513..62978,z=-3653..20088
on x=6461..13889,y=-81039..-79149,z=-14585..4962
on x=-69050..-49650,y=-22855..6994,z=32836..42708
on x=58772..69944,y=-9538..12087,z=28708..50878
on x=17791..40756,y=-63904..-41943,z=44622..60328
on x=-78675..-51325,y=41871..58847,z=-15306..8123
off x=2263..15004,y=39548..60570,z=-68587..-59279
on x=-33100..3331,y=-83947..-67360,z=-15106..-1806
off x=-31409..-9529,y=55397..81743,z=-56424..-28254
on x=-13784..2331,y=-67571..-53526,z=-65962..-41705
on x=40677..56219,y=-57973..-44112,z=-43472..-21090
off x=-13363..10111,y=-70870..-55575,z=-64546..-50364
on x=-24853..-7051,y=-38256..-11975,z=-74191..-68319
off x=60478..92070,y=-33878..-1301,z=14985..41428
off x=-3869..11794,y=71177..92408,z=-13823..1386
on x=-93950..-75095,y=-8417..-913,z=-14439..9125
on x=-42423..-21653,y=-79816..-64359,z=12851..31635
on x=-70511..-50141,y=-56049..-43420,z=-50913..-38091
on x=41950..56196,y=1913..20130,z=-58878..-37702
on x=18537..29844,y=-74545..-64974,z=10840..42337
on x=-80268..-57218,y=-39525..-26641,z=34474..45121
off x=-64546..-39280,y=-17791..2932,z=46226..64270
off x=1873..22899,y=14549..21812,z=71868..78440
off x=57057..69026,y=215..30849,z=31878..60483
on x=-71313..-42467,y=-46924..-43758,z=35354..59810
on x=-1282..30791,y=-39592..-10229,z=66079..77459
on x=-44183..-34221,y=10109..36205,z=-71186..-50886
off x=-28785..7160,y=5353..23591,z=70617..87893
off x=-78687..-53594,y=-34197..-7529,z=-57660..-38659
off x=-75289..-67577,y=-5873..11457,z=18281..51251
on x=19495..50005,y=-27461..-19054,z=-76328..-69282
on x=-70381..-44457,y=-17461..-7070,z=-61361..-44344
off x=36932..48688,y=25122..57915,z=34160..64590
off x=-27221..-11459,y=-30644..-10029,z=54242..83644
off x=12779..46433,y=24340..44805,z=-84461..-51854
off x=-67046..-59151,y=4825..35205,z=47623..66463
off x=-97573..-62820,y=-18631..-7608,z=-13694..3266
off x=-9773..13706,y=35968..49394,z=54915..79490
off x=-80035..-63459,y=-38604..-17335,z=-47413..-15606
off x=-84686..-65929,y=-47609..-25275,z=-22369..-6615
off x=-1663..11210,y=-86941..-58921,z=17182..42998
off x=12807..39038,y=-63335..-46664,z=-55524..-46519
on x=10517..35096,y=23291..26533,z=-75061..-59360
off x=-26940..192,y=47326..71780,z=34180..65646
off x=-40363..-7024,y=64775..77624,z=26793..38194
on x=26531..54922,y=31677..55272,z=-55277..-41507
on x=-14233..839,y=-95923..-77701,z=-12961..11536
on x=52401..70761,y=-44649..-22702,z=-29368..-22355
on x=73302..80940,y=11081..21008,z=4682..10745
off x=22861..35821,y=-49865..-35191,z=-64292..-59380
on x=50739..63819,y=35738..49018,z=39280..48173
off x=-45903..-18194,y=28991..46620,z=-81542..-54817
off x=-42502..-11638,y=-69861..-42841,z=36291..47257
off x=50935..72318,y=50130..60488,z=2376..21483
on x=-83784..-58031,y=18816..40927,z=-35532..-20986
off x=-50444..-33183,y=53447..70976,z=8957..28866
off x=-54114..-33924,y=36074..62755,z=17444..45108
off x=47779..78387,y=-10385..8134,z=-67291..-35838
on x=76529..83441,y=20059..27231,z=-3353..13379
on x=-50905..-17638,y=-75063..-58273,z=-9660..5085
on x=49971..71362,y=51212..59675,z=-2711..31745
off x=-36237..-19216,y=-83245..-65446,z=4653..38301
on x=-16511..5899,y=53293..76596,z=15657..44625
on x=-5044..9853,y=42277..55657,z=64254..76139
on x=-48991..-30017,y=49410..82020,z=4049..14015
off x=-22524..-9108,y=-86217..-66212,z=-1520..19109
on x=-14709..3269,y=-89533..-72352,z=7063..31581
off x=-32472..-15491,y=-71576..-55289,z=-55423..-33575
on x=54950..83891,y=-13..34152,z=7994..35938
on x=-49556..-31194,y=-16759..14963,z=-70295..-55118
off x=32139..57146,y=-47085..-26911,z=-47634..-35141
on x=-12427..19691,y=-45935..-34330,z=60411..85048
off x=-52091..-43589,y=28711..42709,z=39186..67227
off x=-86696..-69514,y=13431..29128,z=-37451..-4348
on x=-86476..-58477,y=125..37383,z=-50237..-33644
off x=-10305..10015,y=-70962..-58680,z=-47678..-37286
off x=1373..10300,y=-31967..-11312,z=74006..92381
off x=-92694..-70914,y=-22526..-9968,z=5467..24284
on x=62662..67632,y=-7280..25133,z=25679..47697
off x=-73340..-50134,y=29767..43164,z=30189..62773
on x=-67717..-45995,y=44563..56380,z=12380..35116
on x=-64863..-45164,y=-27774..-17650,z=-64480..-36208
off x=46269..63377,y=-55139..-21162,z=44042..62965
off x=-75103..-61280,y=14466..25566,z=20484..26728
on x=29048..63862,y=31794..55186,z=-59678..-36835
off x=-68839..-47994,y=-28337..-11192,z=52466..63463
off x=-21751..-3617,y=41899..63046,z=-66479..-39600
off x=-24166..-731,y=-46616..-31811,z=57142..75183
on x=33864..72148,y=-76244..-47923,z=-17466..17516
on x=48616..53075,y=-71522..-46786,z=6422..22313
on x=22746..38869,y=-78913..-68020,z=-12111..-3397
off x=-70246..-55659,y=-5047..15291,z=32628..48897
off x=-80505..-48137,y=-27292..-14364,z=-61081..-26049
off x=-34713..-19690,y=-80748..-72537,z=-30114..-1247
off x=2988..22819,y=42491..54211,z=46268..75523
off x=27855..30974,y=-57619..-27495,z=53012..79570
on x=62404..76819,y=-37047..-6605,z=17174..49353
on x=68656..91897,y=-35364..-19760,z=-8393..17848
on x=42354..50887,y=26734..49785,z=54988..75309
on x=53927..64351,y=37674..64165,z=-12402..9618
on x=-24852..-3835,y=59299..78561,z=1549..18700
off x=-58554..-27017,y=4321..24113,z=-67493..-57072
off x=-94076..-79397,y=-6402..14533,z=-2492..20821
off x=35556..51307,y=28275..47038,z=28927..53644
on x=1614..32610,y=-70596..-50527,z=-48363..-32598
off x=8278..10659,y=-28686..-11265,z=71479..95243
off x=54458..73574,y=-45424..-20113,z=-27876..-9517
off x=44002..64933,y=42915..64356,z=1168..19620
off x=-33034..-17929,y=-63446..-44805,z=46813..75261
on x=-66817..-50915,y=-19046..2976,z=-63652..-51743
on x=6944..39083,y=-89407..-60846,z=23895..39294
on x=9665..39610,y=-86197..-71089,z=4244..26707
on x=5139..12993,y=-54118..-27647,z=-74064..-61539
off x=8042..33978,y=51771..57684,z=-69501..-45957
off x=-87428..-55736,y=-45210..-24412,z=-35544..-24693
on x=-53808..-47076,y=38658..62028,z=-47689..-26177
on x=-62784..-48131,y=-40864..-25128,z=-57697..-30921
off x=38125..52010,y=46398..71465,z=12924..31530
on x=-67337..-29923,y=-46265..-32259,z=29819..54750
on x=70737..89485,y=-15063..-975,z=-41260..-18114
off x=35055..56991,y=-38897..-10093,z=-70659..-53894
off x=23935..38898,y=19334..29134,z=-75723..-63573
on x=-61930..-55638,y=32552..37547,z=-43811..-28898
on x=19668..46063,y=-78887..-54816,z=16811..53472
off x=-70470..-51017,y=-42135..-31484,z=23415..38687
on x=-30299..-23450,y=-92434..-69752,z=-15152..-1629
on x=29338..66072,y=-31507..-13507,z=-66713..-56472
off x=-89031..-61324,y=-6717..27375,z=-29030..2568
on x=64795..79128,y=-23842..-6104,z=7907..23618
on x=5988..17487,y=7275..33464,z=-77401..-64098
off x=14528..41401,y=-1581..18384,z=66950..75742
on x=13542..24627,y=57417..81038,z=22402..44898
off x=43349..64206,y=-6688..12717,z=39318..51391
on x=30075..43865,y=-72039..-49539,z=-56523..-33714
off x=-42699..-24488,y=16572..44053,z=53996..69197
on x=75851..95846,y=-4190..15450,z=-16189..224
on x=-32168..-17634,y=50341..68457,z=38497..54407
on x=66686..78264,y=13880..35279,z=8716..17040
off x=2050..24083,y=-88338..-70203,z=-44907..-8107
off x=-56347..-37562,y=-63048..-54292,z=-24767..-5750
on x=-77758..-53310,y=11828..40043,z=-64308..-48014
on x=32514..52495,y=-66819..-51196,z=23118..32227
on x=60796..74791,y=45512..60873,z=-9921..8770
off x=50888..75211,y=1882..24963,z=-52276..-33274
on x=-36740..-22885,y=-75376..-61774,z=-21797..9467
off x=50488..61801,y=49917..55978,z=-17192..11239
on x=-50908..-40107,y=59280..71015,z=-19951..-1783
off x=-46980..-35121,y=50260..77700,z=-29509..-6721
on x=-81806..-66229,y=7652..27303,z=13204..34724
on x=-67978..-54278,y=-67528..-33530,z=20917..39371
on x=33071..41843,y=-81981..-57917,z=6776..21471
