??????#?#?#?? 2,2,6
.#??#???#?????#??? 1,14
.?#?#?.???.?#???? 4,3,2,1
#????#?#?.?#?## 9,1,2
????????.??#???? 2,3,1,1,4
??????????????#??##? 2,6,7
?????.????????.???? 3,6,2
???.??.?#?? 2,1,2
?.???#??.?.???? 1,6,1
?#.#????????#.???? 1,1,3,2,2
??????##?????????? 1,12
#????#??#?##?#?.?#?? 1,1,10,1,1
?#???#????? 1,5,1
.?.#??##?????. 1,5,1,1
..?.???#??#?##?? 1,2,5
.?????#???.???. 1,1,3,1
.?.?###??#??? 1,7,1
??????????#??#??##? 4,3,3,1,3
????#????.??.???? 8,1,1
.?.????#?#?.????## 6,2
???.??.????????? 1,1,1,1,4
??..???.#? 1,1,1
??.????##.? 2,1,2
?..#?##????##?##??# 1,1,2,9,1
.???.#??#?#.#? 2,1,4,1
??.???????#????? 2,1,1,1,2
????..##???.?.?. 1,2,2,1,1
#??#??????#??.##? 5,1,1,1,2
.????#???? 4,1
.??#.??.?.?## 2,1,1,2
??.????#????#?? 1,6
??#?????#?#????? 1,5,1,3,1
????..???.? 3,2
??.?????????##.??#. 11,1,1
...##?..#.??.???? 3,1,1,2
????????????. 1,1,1,1
??.???#??.?.????? 1,1,4,1,1
#?.#????.##?? 1,2,1,3
#?.#????????? 1,6,1,1
?#??????..??#?? 8,1
?#.?#???#??????#? 2,1,8,2
?.???.???#.. 1,1,2,1
.#.??#?.??#?#?? 1,3,6
..????????.???# 3,1,1,1
????.?#?.????.????? 1,3,3,1,1,1
##??#?#???.?..#? 5,1,2,1,1
?.?.????#. 1,3
#?#???????. 5,1
?#???.#?##?? 3,6
??????.??. 1,1,2
..????????#.? 1,4
?#?##?..????????? 4,2,1,3
.#????.?#.? 1,2,2
?#?##????? 1,5,1
????????.?? 1,3
?####?..??#??? 5,2
#??#????#??? 4,2,1
??.?#??##.?? 6,1
???????##.?.??. 1,3,2,1,1
?.?#??#..?? 2,1,1
.#??#??????#??#?? 4,10
?????#???????? 1,8,2
?#.?.??????.?# 1,1,2,2
??????#?#????#?##?# 4,13
?????#?#?#??.#??##. 1,1,1,4,1,3
.?????###??#?#.#.?. 1,5,1,1,1,1
..???..?#..??#?? 2,2,2
..??????.???##?#? 5,4
????.?#?.??#?.??##.? 2,3,3,4,1
??#?..#???????? 2,6,1
?.##.?..#???##?????? 1,2,1,7,1
??####??????????.. 6,5,1
.?#.????### 1,1,4
?????.?##..?? 3,3,1
???????????#?????#?? 1,10
?.#.?.???##??#?#?#?. 1,1,12
?#?????#???? 1,2,2
??.?#???.???##?###? 1,3,10
??#????#??#???#??# 5,1,2,2,1
.?#??????#?? 2,5
?##??#???#?#????.??? 11,1
???????.?.??? 3,3
?#?#?..#???.??? 1,1,3,1
?#..?.??#?? 1,1,2
??#???.??. 4,1
#?#????????##?????.? 1,5,5,2
???????#?? 3,1
.#?.?#???##?????.??? 2,12,1,1
???#???#???? 1,1,6
??##?????##?#.??. 5,4
???#.???#???.?#???? 1,1,5,1,6
?#???.??#??????. 2,8
.?#??#?.??????.? 2,1,3
#??#??##?.? 8,1
??#??????#.????#..?? 8,4
#?.????.??? 1,4,1
???????#?.???#? 6,3
?#??.??#.??#???# 1,1,1,6
?#???????#??????? 7,5,1
??.?.#???? 2,1,4
????..#??? 1,1,1
.??..???#..?# 2,1,1,1
?#.?????????.?#??? 1,4,3,1,1
??#???##?#?????#??? 9,1,2
?????.?#.??? 1,1,1,1
???????#.. 2,2,1
.#.?#?#?#??#????. 1,9,1
#??.?#???.#.??? 2,1,1,1,1
??###?.???# 6,1,1
???.???#?#???? 2,1,4,1
.????.?#??.?## 1,2,2,2
??##??#?#????.? 3,8
???????#.???? 1,2,1,1
?#????#?#??.#?# 1,2,1,1,1
??#.##?.##??? 2,3,2
???????#????#??##?.? 6,1,7
?#???.?.#?????#?#??? 3,1,1,3,5,1
????.????? 1,1,2
??..#??#?.. 1,4
?.?#?.???#..?????? 2,4,4
#?###??#?????#.. 8,1,3
??#??#????#.#?.. 6,1,2
???#???#??.??#? 6,1,1
??..#?###?#??.? 1,9
??.?#?.??? 3,1
.#??????.? 1,3,1
.??##.?#.? 2,1,1
????#.?.?#?#?##?.?? 4,1,2,4,1
.##??.??.??? 4,1,3
???????#??#?#?#?. 7,6
???..##?#??#?.? 2,5,1,1
##???.??.?. 4,1,1
.????###?.##????#. 1,4,2,4
.?.#?#..?.#??#?. 1,3,1,5
.##?#????#???#???? 13,3
##.#???#???#.??# 2,1,6,3
.??????.??#?.?? 4,1,1
????#..???? 1,1,2
?..????.??...???. 1,1,3
#?#???#?????????# 1,5,3,4
?????#??.????#??. 5,1,3
???###?????#????.?# 8,5,1
#??#?????.??#?? 4,2,2
?.??????????? 3,1
?#.?.?#???? 1,3
?.???????.?.???.? 1,4,3
?.#????#???.. 1,2,4
????#?????#?##??#? 1,12,2
?.??????#????#?? 10,1
.?..??#????.# 1,2,2,1
?.???????#. 1,1,3
??????????????.? 1,3,4,1,1
??????#???. 1,5
.#??????#? 3,1,1
??.????##?.? 1,2,4
#???#??????#??.#??# 6,1,1,3,1,1
??#.????.? 3,4
##??.?#??.?##???#??. 2,2,1,2,4
.?????.##????????#? 1,12
?#?.??.????? 1,1,1,1
.##?#?#???? 2,7
.#????.?.?#.?.? 5,1,2,1,1
.??#.?????#.? 2,5
#?????????##?#??.??? 3,1,1,5,1,1
??????#????#?##?#? 1,1,1,2,4
?#?????#.? 2,3
?????#?.??#? 1,1,1,1
?????#.??.? 6,1,1
?.??.???#.#???.?#??? 1,1,1,4,3
???#?????#???????? 2,1,4,1,3,1
???#??.?#?? 1,1,2
????.??#?.? 2,4
?.##??#?.#???#?? 1,5,1,2
#?...??.#?.#???? 2,1,1,2,2
???.??#?.#..? 1,2,1,1
#?.?#?#??????#?#? 1,1,10
????????#??#?????? 2,1,4,4
???##??#??#??.?.?# 9,3,1,1
?????.??.#??? 3,1,1,1
?.????#??????#????. 1,4,1,7
??##??.?????????#?? 6,4,1,1,1
#????##???.???.?#? 10,2,2
???.#?????.?? 3,1,1,1
.???#?##???#? 1,5,1
??.#.??.??.#?##??.? 2,1,1,1,5,1
??#?#??#.??????????? 3,2,1,1,7
?.#?.?#???. 1,4
???###????.??? 5,3,1
#?##??????????.? 5,1,2,1
#???.???#???? 1,1,5
?#??..?..?#?? 3,1
??.????????#???.?. 2,3
?????##??##?.#??? 1,2,4,1,1
#..??#..?#?????#?? 1,1,1,10
???#?????????##.?? 1,1,4,1,2,1
?.??????..#?????#. 1,1,2,7
??????#?#?#?#? 1,1,7
?..????#???#??#?? 1,3,1,2,4
?????????????????# 1,1,1,1,3,3
???.#????#??????... 6,1
????.?.?#?##?#?.??? 3,7
?????.?.?##?? 2,1,1,3
????.???#?#?#??#???# 1,1,12,1
##?#.?#??## 4,2,2
??##?????##??.?#? 10,2
?.#?#????#..?#??##? 1,3,1,5
?##?##?????????? 7,6
????#.#?#????? 4,3,1
?.#???????#???.# 11,1
???#????#?.???? 3,3
?#??????#?#??#??.?? 14,1
???????????????.?.?. 4,1,1,2,1,1
#?.???##??.#.?? 2,1,4,1,2
.##?.?.?.??????.??? 2,3
###?.???##?# 3,6
..???##.??.? 5,2
????????#???.?#??# 2,1,6,2,1
?.??#??????.... 5,2
?.??????#?.#????? 3,3,2,2
?#.???.#?? 1,1,3
?????#???#?.#.? 1,2,4,1,1
##??#??.????#.?#? 5,1,2,1
?#????.??? 1,1,1
.#?.???###?##?? 1,5,4
.????#.??.#??#?#??? 1,1,1,6,1
??.#.?##???#?#?????? 1,1,7,1,1,1
?.?#...#?????#????. 1,1,2,6
?#?.#???.?? 1,3,2
.?#???##?? 2,5
#????####.#?##.#.?? 9,1,2,1,1
?.???#?????#.#? 1,1,1,3,1
.???#????...????# 7,4
#???.#???##?##?.?#? 1,1,2,6,3
?.?##????#?????? 1,9,1
?#????..?? 1,3,2
??.??????.#? 1,1,2,1
?????..#??#?????#?# 4,1,8,1
???????.??????. 1,2
?##??..#???????.. 4,3,1,1
??#???..?#???? 4,3,1
??????????????.????? 1,3,4,1,1,1
???.#?.?##? 2,1,2
???.??.??.?#? 3,1,2,2
?????????? 1,7
.??????#??#?.?#???. 10,4
??#???#??#.??????# 10,2,2
??.??????. 1,2,1
????.#????? 1,2,1
??#.#???#.? 1,1,1
#?#.?????#??.###?? 1,1,7,4
???#.???#??#?.??? 3,3,2,1
??#????.?.?##?.. 4,4
??..????.?#??.# 2,1,1,2,1
#??#??##???.????. 2,1,4,1,1
?.#??###?#?.????#?#? 1,6,6
.??????#??.??####?? 1,4,7
?.???#??.#?? 1,3,1
???#??#??.?? 6,1
?##..???.? 3,1
?????..#?#?????.? 3,8
?.?##????#????. 2,4
?#?#??????. 1,1,2
.????#???.????. 1,1,1,1,1
????#??##?.?.?#.. 8,1
??##?#????#?? 7,2
?#????###?#??#? 2,9
????????????#???.?? 1,1,3,8,1
?.?#??#????#?#?#?. 4,5
??.??.???. 1,1,1
.??.??#????.??#..? 2,3,2,2,1
?###????#..??###.?. 8,4
??###????????????# 5,1,1,1,1
..???#??.?? 3,2
##.???.???#? 2,4
???#???#.???#? 7,3
?.???..???#??##.#.? 1,1,8,1,1
.?#?#??.??? 4,1
??##?.????? 4,3
.????.?#..?#.????..? 2,1,2,3,1
????##??????#? 6,4
?.??#?????..? 7,1
?????#?#?..?????? 7,2,1
.??.??????? 1,2,3
#?#####??#???#??#?? 11,2,1
?#??#?????.???? 6,1,1
?.?????#?#???.? 1,1,6,1,1
#?????????#??.#.?# 6,1,1,1,1,1
?#?##??#??.#??#?.# 4,2,1,1,3,1
??????#??..???##??? 7,4
#????#???.?.?#?# 1,4,1,1,1
?#?#???#????. 1,7
?????###????? 2,5
#?????.#?.???????? 1,4,1,4,1
??.???###?##??.??#?# 1,1,8,1,3
??.?????#? 1,1,4
????????#?.????#? 1,7,2
.????.???????#?####? 4,1,9
??.?#.??.????#??#?? 2,6
??#?????.???#?#??? 3,1,8
???.??.???..???.?.. 1,2
?????#??????### 1,3,1,1,3
#?.???#??#?????#???. 1,1,2,4,3,2
??.??#?#??#?#?? 1,5,1,1
??.?#???#???? 2,2,4
.?.??#???##.?.??.. 7,1
???#????#?#.??.?? 4,1,1,1,1
?????#.?.?#????. 4,4
???.#?.????###?##??? 1,1,1,1,8
??????.????##?? 1,1,4
?????.?#?.????## 1,2,1,4
?????#??#???? 5,1,1
.?.???#???#???????? 9,1
?##????#??#.??? 4,5,1
??.#?#?#???????#???. 5,3
????#?#?.?????. 1,5,3,1
?.#?.#???#?##?? 1,5,3
.????.??####?#?? 2,1,1,8
?.??????.????? 1,3
??#?.?##?.??????.?# 2,4,2,1,1
?.??#??????#.??.##? 9,2
??#.?.#?#?# 3,5
????#.?#???#? 2,1,3,2
#?????#?..?.#? 1,5,1,1
.??#?#?#??###?#??.? 1,1,12,1
##???.?#????#? 5,7
???#???#??. 1,7
??????.???. 3,2
##?????????????.#? 7,2,2,1
??.??##.????#.??? 3,1
.#??##?...????? 6,2
????.??#.????. 4,1,4
???????..?#. 5,2
?.?#???.????###???? 3,8
?#?.??????#.?? 2,7,2
??????#??#? 1,4
.??#????###???#?? 2,4,2
.?#?#?##??#??#??.#?? 6,3,3,2
?.????????#???##??? 3,5,5
??????.????? 1,3,2,1
..????#????##.???#?# 9,5
##?#?????.???#???? 5,1,2,2,1
???#.????#????.?##. 1,1,2
.????????. 3,1
?#?.?#.#.?????? 3,1,1,1,3
#??.##?????#?..??..# 1,4,3,2,1
.??.???????#??? 1,1,6
??.???#?.? 1,3
?#?#?????.??#.? 5,2,2
??#?.??#?#?? 1,5
??#??###??????.?? 1,11,1
??.???????## 1,5
????..??#.???.? 1,1,2,2
??##????#. 2,3
?#.?###????# 2,3,1,1
???#??.????.? 1,2,3,1
..???..?????#??#? 3,8
.?.???????.#????#??? 1,2,1,1,1,4
??.?#?#???????# 1,3,2,1,1
??#?.#?..? 2,1,1
?.?.?##.?.#?? 3,2
.???.???#????????? 2,3,2,3
????.?#??.?..?????? 1,1,2,1,6
.?#?#???####??????. 11,1
#?#???#??????##? 1,1,1,1,7
#???#???????.?# 9,1,2
???#???.???? 4,1,1
#?.?.???????. 1,7
??????#??#??.? 1,7
?????????? 5,1
.??#??????.??? 7,1
?.##?????? 1,2,2
#??##???????? 1,4,1,2
??.#?.#?.??? 2,1,2
?.?#??????##?#?#... 2,7
.????#??##?#.????? 1,3,3,1,1,1
?#?##??#???.?????.?# 11,3,1
?#.?..???? 1,1,1
???.??#??###?###.... 1,11
??#.?????#.#.?? 1,1,1,1,2
???#?.??#?.?##. 1,3,2,2
?##..??.#.?????? 2,1,1,4
?.??.?#?#? 1,1,2
.##?.?????.? 2,3
..????##???? 5,1
???.?#???..#?. 1,4,2
?????..?#?#?.? 1,1,5,1
???#????.## 3,2,2
#??????.#??? 6,3
.??#?.???# 3,2,1
???#???#?#.?##?.??. 9,4
.??..?..#??? 1,1,1,1
.???#..??#???? 4,1,1,1
?##??##????.???#.?? 9,1,1,1
.???#?#??????#?? 6,1,2
?#??#????? 5,2
?????#??#???? 1,3,1,1
?????.???? 1,1,2
?.?...?#?.?##?.?? 1,3,3,2
?#????.??#??? 3,5
?????.#??# 2,1,4
?#.?##?##?????# 2,2,4,2
#???????#??????.#??. 10,1,1,1
?##?#??.????.???## 7,1,1,1,3
?????...????#??.?. 2,6
????????#??#?#????? 8,3,3
##??#??#??#.?#?? 5,2,2,3
???#?????.?? 1,1,1,1
#..###??????? 1,4,2
??.?##??????#?##. 1,13
.?#?#.???# 4,1,2
.???#####????? 2,5,1
???.????.? 1,2,1
.????#?#??.? 1,1,5,1
?.##???????.#. 5,1,1
??.??#.?????.. 1,2,4
??#??.?.?. 3,1
#???.??.???????#? 4,2,4,1
???#??#????????#? 1,12,1
?#?#??#????##??. 1,4,1,4
?#?.??.#??.?? 1,1,2,2
??.#?.??.?#??##????? 1,1,1,2,4,2
??#?????????.??? 1,2,1,3,3
??.?.?.???#? 1,1,1,1
????????#.?? 1,3,2,1
??.?.?#??.?..?? 1,2
.???.????#??.?? 1,1,1,1,3
#????.?#.??.#??.#?# 2,2,1,3,3
.#????.#?. 1,1,2
???#.???.????#?? 3,3,4
#??#?????#???.????? 1,9,1,3
????????..?#? 1,4,1
.?#####???.??##???.? 9,6,1
???##?????#?#.#? 8,1,1,1
?##???##?.?#?# 8,3
???#?????? 3,3
??.?????????????? 1,1,6,1,1
????#?.???#?#????.? 4,8
..?#?.????#??? 2,6
.????#??#???.????#? 5,5
..??????????? 1,2
?.???????.. 4,1
.????????? 3,4
???????..# 2,2,1
????#??.????? 5,4
#??##??.#??#.?.?? 7,1,1,1
.??????.?#.?.??#. 5,2,3
.#?#???????.??#?#??? 7,7
??#??????. 2,2,1
??????????#? 1,8
.?#???????# 7,2
##.???????#?.???.?? 2,9,3,1
#?..#?.???.# 1,2,2,1
#?##?????.?#?????. 1,7,2,4
?##?##?#??..??#?? 10,1,1,1
??.???#???.??? 1,1,3,1
.?..?.?.#? 1,1,2
?#??????????##???? 1,11
??#?##???#????#??#? 1,8,1,3,1
.?##?#.???.???.#??? 5,3,3,3
.??.?.#???? 1,5
.#?#???#.#.?#?#.?#? 7,1,4,2
.#?#???????#.#??.??? 3,3,1,1,1,1
#.??????#?????. 1,8
??.????#??#?##?#? 1,1,6,5
??#.???????? 1,1,7
#?##?##????.??.?? 7,2,1,1
??????##?#..?.??.? 1,2,4,1,1,1
???#?.?#??#??.??? 3,7,1,1
##????????##???.#? 4,7,1
??#?????.?. 3,3,1
??#??#?#?#?..?????? 9,2,1
#?.????.??#.??? 1,4,1,1,1
?.?????###??#?#???.? 8,6
????#???..#?###????# 2,4,10
?#??.##?????????.? 4,6,1,1,1
??#???#?????? 3,6,1
#???.?.???????????? 1,1,1,1,1,4
??????.???#? 1,1,4
.?#???###.. 2,4
??#???#???# 6,1,1
?????#??#??#??? 1,10,1
.??????????#??? 4,1,3
.??#??????? 2,2
??????#?.? 1,3,1
.????????#?#.?##??. 2,6,1,4
.????.#????##?..? 1,2,8,1
???????.#??#.??.### 6,4,1,3
.????##??????#? 1,8,1
?.?###?..?? 1,3,1
?????..?.?#. 4,1,2
???#???#.#????#?.? 8,6,1
?.?????????????? 6,5
..?.##???##?? 1,7
?#???????? 3,2,2
?????#??#???##?.?#?? 1,6,3,3
.??.????#?##???????? 2,1,10,2
.#??????#.? 3,4,1
?..?..????.?.#???? 3,1
??.?#?.??# 1,1,3
????.????#.??? 1,3
..???#???.? 5,1
??.#???.??#??#? 1,1,2,1,5
.??#????..???? 3,3
#?#?????#.????? 3,1,1,1,1
???#.???????#??? 2,3,5
#?.??.?????????? 2,1,1,4
?#???.????#?## 3,8
?.?#?#??..?? 5,1
.###?.???? 3,2
???##?#?#..?????## 8,1,5
??.?#???##?#?. 1,9
??????#?#.?#? 1,1,1,2
???##.??##?.??????#? 5,2,3,1,2
..??##?????. 4,2
?.?##?.#?????..????? 1,4,1,4,1,1
?????#.#??#####???# 4,12
????????#???#?##. 2,6,4
??##????##????? 2,4
???????.?#????#???? 6,6,1,1
.#?#??##??#.??? 1,2,5,3
???..????????##????? 2,3
??##?#.?.??# 5,1,1,1
???#???#?? 1,1,3
???#??###? 1,1,5
?.??????#?? 1,5
#.??##??..???? 1,5,1
????#?###??.? 7,1
?????#.?..? 4,1
#?.###?##? 2,6
?#???#???##??. 2,8,1
?#??#.#.???# 2,1,1,2
#????.#??.?.#?? 2,1,3,1,1
?.?????#?###?????? 1,9,3
###?#.??.?? 5,2,1
?#??..??#??.#???#?? 1,1,5,2,1,1
??.?.??#?#?#?##?? 1,1,11
.???#??.?##????.?? 1,3,4,1,1
????????.?#. 4,1
